# MindGeek Network Sites Configuration 共计227个站点（214个系列站点 + 13个网络主站）
# Format: site_name,domain,code,network,enabled,priority
# Networks: Brazzers(31+1), RealityKings(44+1), BangBros(53+1), DigitalPlayground(3+1), Mofos(13+1), Twistys(10+1), SexyHub(6+1), FakeHub(11+1), MileHigh(5+1), Babes(5+1), TransAngels(1+1), LetsDoeIt(18+1), Independent(15+1)

site_name,domain,code,network,enabled,priority
Teens Love Huge Cocks,TeensLoveHugeCocks.com,,RealityKings,true,85
We Live Together,WeLiveTogether.com,,RealityKings,true,85
Wives in Pantyhose,WivesInPantyhose.com,,RealityKings,true,75
GF Revenge,GFRevenge.com,,RealityKings,true,80
Black GFs,BlackGFs.com,,RealityKings,true,75
Crazy Asian GFs,CrazyAsianGFs.com,,RealityKings,true,75
DareDorm,DareDorm.com,,RealityKings,true,80
Reckless in Miami,RecklessInMiami.com,,RealityKings,true,75
Crazy College GFs,CrazyCollegeGFs.com,,RealityKings,true,75
Horny Birds,HornyBirds.com,,RealityKings,true,70
Lil Humpers,LilHumpers.com,,RealityKings,true,80
Work Me Harder,WorkMeHarder.com,,RealityKings,true,75

# BangBros Network (53 sites + 1 main site)
BangBros,bangbros.com,,BangBros,true,100
BangBus,BangBus.com,bb,BangBros,true,90
Ass Parade,AssParade.com,ap,BangBros,true,85
Monsters of Cock,MonstersOfCock.com,mc,BangBros,true,85
Big Tits Round Asses,BigTitsRoundAsses.com,btra,BangBros,true,85
Big Mouthfuls,BigMouthfuls.com,bmf,BangBros,true,80
Tugjobs,Tugjobs.com,hj,BangBros,true,80
Big Tit Cream Pie,BigTitCreamPie.com,btcp,BangBros,true,80
Brown Bunnies,BrownBunnies.com,bkb,BangBros,true,80
BangBros Remastered,BangBrosRemastered.com,rm,BangBros,true,85
MILF Lessons,MILFLessons.com,ml,BangBros,true,80
Milf Soup,MilfSoup.com,ms,BangBros,true,80
BangBros Clips,BangBrosClips.com,bbc,BangBros,true,75
BlowJob Fridays,BlowJobFridays.com,bj,BangBros,true,75
Facial Fest,FacialFest.com,ff,BangBros,true,75
BangBros 18,BangBros18.com,bbe,BangBros,true,85
Magical Feet,MagicalFeet.com,fj,BangBros,true,70
Ball Honeys,BallHoneys.com,es,BangBros,true,70
Mr Anal,MrAnal.com,ma,BangBros,true,80
Fuck Team Five,FuckTeamFive.com,bbw,BangBros,true,80
Back Room Facials,BackRoomFacials.com,brf,BangBros,true,75
Bang POV,BangPOV.com,bpov,BangBros,true,85
Pawg,Pawg.com,pwg,BangBros,true,80
Porn Star Spa,PornStarSpa.com,pos,BangBros,true,75
My Dirty Maid,MyDirtyMaid.com,mda,BangBros,true,80
Party of 3,PartyOf3.com,ls,BangBros,true,75
Latina Rampage,LatinaRampage.com,lrp,BangBros,true,75
Backroom MILF,BackroomMILF.com,mf,BangBros,true,75
Can He Score,CanHeScore.com,bd,BangBros,true,70
Public Bang,PublicBang.com,pb,BangBros,true,80
Mom Is Horny,MomIsHorny.com,mih,BangBros,true,80
Colombia Fuck Fest,ColombiaFuckFest.com,cff,BangBros,true,75
Newbie Black,NewbieBlack.com,blkg,BangBros,true,70
Bang Casting,BangCasting.com,hih,BangBros,true,80
Glory Hole Loads,GloryHoleLoads.com,ghl,BangBros,true,75
Blowjob Ninjas,BlowjobNinjas.com,aa,BangBros,true,75
Street Ranger,StreetRanger.com,sg,BangBros,true,70
Chongas,Chongas.com,ch,BangBros,true,70
Stepmom Videos,StepmomVideos.com,smv,BangBros,true,80
Mr CamelToe,MrCamelToe.com,ct,BangBros,true,70
Power Munch,PowerMunch.com,pm,BangBros,true,70
Boob Squad,BoobSquad.com,bs,BangBros,true,75
Dorm Invasion,DormInvasion.com,di,BangBros,true,75
Dirty World Tour,DirtyWorldTour.com,bf,BangBros,true,70
Living With Anna,LivingWithAnna.com,lr,BangBros,true,70
My Life In Brazil,MyLifeInBrazil.com,mb,BangBros,true,70
Working Latinas,WorkingLatinas.com,lw,BangBros,true,70
Casting,Casting.com,ca,BangBros,true,75
BangBros Angels,BangBrosAngels.com,bng,BangBros,true,75
Penny Show,PennyShow.com,ps,BangBros,true,70
Bangbros Vault,BangbrosVault.com,bv,BangBros,true,60
Bang Tryouts,BangTryouts.com,bto,BangBros,true,75
Slutty White Girls,SluttyWhiteGirls.com,swg,BangBros,true,70
AvaSpice,AvaSpice.com,av,BangBros,true,70
Dads Love Porn,DadsLovePorn.com,dlp,BangBros,true,75

# DigitalPlayground Network (3 sites + 1 main site)
DigitalPlayground,www.digitalplayground.com,,DigitalPlayground,true,100
DP Parody,DigitalPlayground.com,dp,DigitalPlayground,true,85
Flixxx,Flixxx.com,,DigitalPlayground,true,80
Raw Cut,DigitalPlayground.com,rc,DigitalPlayground,true,80

# Mofos Network (13 sites + 1 main site)
Mofos,www.mofos.com,,Mofos,true,100
Share My BF,ShareMyBF.com,,Mofos,true,80
Dont Break Me,DontBreakMe.com,,Mofos,true,85
I Know That Girl,IKnowThatGirl.com,,Mofos,true,80
Lets Try Anal,LetsTryAnal.com,,Mofos,true,80
Pervs On Patrol,PervsOnPatrol.com,,Mofos,true,80
Stranded Teens,StrandedTeens.com,,Mofos,true,85
Mofos B Sides,MofosBSides.com,,Mofos,true,75
Shes a Freak,ShesAFreak.com,,Mofos,true,80
Public Pickups,PublicPickups.com,,Mofos,true,80
Latina Sex Tapes,LatinaSexTapes.com,,Mofos,true,80
Girls Gone Pink,GirlsGonePink.com,,Mofos,true,75
Real Slut Party,RealSlutParty.com,,Mofos,true,75
Mofos Lab,MofosLab.com,,Mofos,true,70

# Twistys Network (10 sites + 1 main site)
Twistys,www.twistys.com,,Twistys,true,100
When Girls Play,WhenGirlsPlay.com,,Twistys,true,85
Mom Knows Best,MomKnowsBest.com,,Twistys,true,80
Twistys Hard,TwistysHard.com,,Twistys,true,80
Turning Twistys,TurningTwistys.com,,Twistys,true,75
Nicole Graves,NicoleGraves.com,,Twistys,true,70
Anette Dawn,AnetteDawn.com,,Twistys,true,70
Twistys Teasers,TwistysTeasers.com,,Twistys,true,70
Euro Foxes,EuroFoxes.com,,Twistys,true,70
Blue Fantasies,BlueFantasies.com,,Twistys,true,70
Busty Ones,BustyOnes.com,,Twistys,true,70

# SexyHub Network (6 sites + 1 main site)
SexyHub,www.sexyhub.com,SexyHub,true,100
Dane Jones,DaneJones.com,,SexyHub,true,85
Fitness Rooms,FitnessRooms.com,,SexyHub,true,80
Girlfriends,Girlfriends.xxx,,SexyHub,true,80
Lesbea,Lesbea.com,,SexyHub,true,80
Massage Rooms,MassageRooms.com,,SexyHub,true,80
Mom XXX,MomXXX.com,,SexyHub,true,75

# FakeHub Network (11 sites + 1 main site)
FakeHub,www.fakehub.com,,FakeHub,true,100
Female Agent,FemaleAgent.com,,FakeHub,true,85
Fake Taxi,FakeTaxi.com,,FakeHub,true,85
Fakehub Originals,FakehubOriginals.com,,FakeHub,true,80
Public Agent,PublicAgent.com,,FakeHub,true,85
Fake Agent,FakeAgent.com,,FakeHub,true,80
Fake Hospital,FakeHospital.com,,FakeHub,true,80
Fake Agent UK,FakeAgentUK.com,,FakeHub,true,75
Fake Cop,FakeCop.com,,FakeHub,true,75
Female Fake Taxi,FemaleFakeTaxi.com,,FakeHub,true,80
Fake Driving School,FakeDrivingSchool.com,,FakeHub,true,75
Fake Hostel,FakeHostel.com,,FakeHub,true,75

# MileHigh Network (5 sites + 1 main site)
MileHigh,www.sweetheartvideo.com,,MileHigh,true,100
Sweetheart Video,SweetheartVideo.com,,MileHigh,true,80
Reality Junkies,RealityJunkies.com,,MileHigh,true,75
Sweet Sinner,SweetSinner.com,,MileHigh,true,80
Doghouse Digital,DoghouseDigital.com,,MileHigh,true,75
Family Sinners,FamilySinners.com,,MileHigh,true,80

# Babes Network (5 sites + 1 main site)
Babes,www.babes.com,,Babes,true,100
Babes Unleashed,BabesUnleashed.com,,Babes,true,80
Black is Better,BlackIsBetter.com,,Babes,true,80
Elegant Anal,ElegantAnal.com,,Babes,true,80
Office Obsession,OfficeObsession.com,,Babes,true,75
Stepmom Lessons,StepmomLessons.com,,Babes,true,80

# TransAngels Network (1 site + 1 main site)
TransAngels,www.transangels.com,,TransAngels,true,100
TransHarder,TransHarder.com,,TransAngels,true,80

# LetsDoeIt Network (18 sites + 1 main site)
LetsDoeIt,www.letsdoeit.com,,LetsDoeIt,true,100
The White Boxxx,TheWhiteBoxxx.com,,LetsDoeIt,true,80
A Girl Knows,AGirlKnows.com,,LetsDoeIt,true,80
Her Limit,HerLimit.com,,LetsDoeIt,true,80
Horny Hostel,HornyHostel.com,,LetsDoeIt,true,75
xChimera,xChimera.com,,LetsDoeIt,true,75
Scam Angels,ScamAngels.com,,LetsDoeIt,true,75
Bitches Abroad,BitchesAbroad.com,,LetsDoeIt,true,75
Porno Academie,PornoAcademie.com,,LetsDoeIt,true,75
Bums Bus,BumsBus.com,,LetsDoeIt,true,75
XXX Shades,XXXShades.com,,LetsDoeIt,true,75
Doe Projects,DoeProjects.com,,LetsDoeIt,true,70
Relaxxxed,Relaxxxed.com,,LetsDoeIt,true,70
Kinky Inlaws,KinkyInlaws.com,,LetsDoeIt,true,75
My Naughty Album,MyNaughtyAlbum.com,,LetsDoeIt,true,70
Bums Buero,BumsBuero.com,,LetsDoeIt,true,70
Quest For Orgasm,QuestForOrgasm.com,,LetsDoeIt,true,70
Bums Besuch,BumsBesuch.com,,LetsDoeIt,true,70
Doe Girls,doegirls.com,,LetsDoeIt,true,80

# Independent MindGeek Sites (15 sites + 1 main site)
Independent,www.biempire.com,,Independent,true,100
Bi Empire,BiEmpire.com,,Independent,true,75
Deviant Hardcore,DeviantHardcore.com,,Independent,true,75
Erito,Erito.com,,Independent,true,75
Family Hookups,FamilyHookups.com,,Independent,true,80
Property Sex,PropertySex.com,,Independent,true,80
She Will Cheat,SheWillCheat.com,,Independent,true,75
Transsensual,Transsensual.com,,Independent,true,75
True Amateurs,TrueAmateurs.com,,Independent,true,80
Kinky Spa,KinkySpa.com,,Independent,true,75
Adult Time,AdultTime.com,,Independent,true,90
Pure Taboo,PureTaboo.com,,Independent,true,85
Burning Angel,BurningAngel.com,,Independent,true,80
Girls Way,GirlsWay.com,,Independent,true,85
21 Sextury,21Sextury.com,,Independent,true,80
21 Naturals,21Naturals.com,,Independent,true,75
