# AdultPrime Network Sites Configuration 共计105个站点（104个系列站点 + 1个网络主站）
# Format: site_name,domain,code,network,enabled,priority
# Source: AdultPrimeNetwork.cs from AdultScraper

site_name,domain,code,network,enabled,priority
Jim Slip,jimslip.com,,AdultPrime,true,80
Jims Classics,jimsclassics.com,,AdultPrime,true,75
King BBC,kingbbc.com,,AdultPrime,true,75
Lady Lyne,ladylyne.com,,AdultPrime,true,75
Laras Playground,www.larasplayground.com,,AdultPrime,true,80
Lesbian Summer,lesbiansummer.com,,AdultPrime,true,75
Lets Go Bi,letsgobi.com,,AdultPrime,true,75
Magma Film,magmafilm.com,,AdultPrime,true,75
Mams Casting,mamscasting.com,,AdultPrime,true,75
Manalized,manalized.com,,AdultPrime,true,75
Manko 88,manko88.com,,AdultPrime,true,70
Man Up Films,manupfilms.com,,AdultPrime,true,75
MatureNL,mature.nl,,AdultPrime,true,80
Massage Sins,massagesins.com,,AdultPrime,true,75
Mature Van,maturevan.com,,AdultPrime,true,75
Metart Network,metartnetwork.com,,AdultPrime,true,85
Mucha Sexo,muchosexo.com,,AdultPrime,true,75
My Friends Hot Mom,myfriendshotmom.com,,AdultPrime,true,80
My Milfz,mymilfz.com,,AdultPrime,true,75
My Sexy Kittens,mysexykittens.com,,AdultPrime,true,75
Nice and Slutty,niceandslutty.com,,AdultPrime,true,75
Old Hans,oldhans.com,,AdultPrime,true,75
OldieX,oldiex.com,,AdultPrime,true,75
Original JAV,originaljav.com,,AdultPrime,true,75
Pawg Queen,pawgqueen.com,,AdultPrime,true,75
Peep Leak,peepleak.com,,AdultPrime,true,70
Peg Him,peghim.com,,AdultPrime,true,70
Perfect 18,perfect18.com,,AdultPrime,true,80
Plumperd,plumperd.com,,AdultPrime,true,75
Pornstar Classics,pornstarclassics.com,,AdultPrime,true,75
Pornstars Live,pornstarslive.com,,AdultPrime,true,75
Prime Lesbian,primelesbian.com,,AdultPrime,true,75
Prime 3DX,prime3dx.com,,AdultPrime,true,70
Raw Euro,raweuro.com,,AdultPrime,true,75
Redlight Sex Trips,redlightsextrips.com,,AdultPrime,true,75
Retro Raw,retroraw.com,,AdultPrime,true,70
Rodox,rodox.com,,AdultPrime,true,70
Salsa XXX,salsaxxx.com,,AdultPrime,true,75
Sensual Heat,sensualheat.com,,AdultPrime,true,75
Shadow Slaves,shadowslaves.com,,AdultPrime,true,70
Sinful Raw,sinfulraw.com,,AdultPrime,true,80
Sinful Soft,sinfulsoft.com,,AdultPrime,true,75
Sinful XXX,sinfulxxx.com,,AdultPrime,true,80
Southern Sins,southernsins.com,,AdultPrime,true,75
Submissed,submissed.com,,AdultPrime,true,75
Summer Sinners,summersinners.com,,AdultPrime,true,75
Sweet Femdom,sweetfemdom.com,,AdultPrime,true,75
Sweethearts Classics,sweetheartsclassics.com,,AdultPrime,true,75
SWhores,swhores.com,,AdultPrime,true,70
Teenrs,teenrs.com,,AdultPrime,true,80
The Pain Files,thepainfiles.com,,AdultPrime,true,70
Tonights GirlFriend,tonightsgirlfriend.com,,AdultPrime,true,80
Tranny Bizarre,trannybizarre.com,,AdultPrime,true,70
Uk-Flashers,uk-flashers.com,,AdultPrime,true,70
Vintage Classic Porn,vintageclassicporn.com,,AdultPrime,true,70
Vlaamsche Passie,vlaamschepassie.com,,AdultPrime,true,70
VR Teenrs,vrteenrs.com,,AdultPrime,true,75
Wankrs,wankrs.com,,AdultPrime,true,70
Yanks,yanks.com,,AdultPrime,true,75
Young Busty,youngbusty.com,,AdultPrime,true,75
