# Gamma Entertainment Network Sites Configuration
# All sites using Algolia API for search and content retrieval
# Format: site_name,domain,code,network,enabled,priority
# Networks: GammaEntertainment(14+1), Girlsway(15+1), EvilAngel(20+1), 21Naturals(3+1), DevilsFilm(3+1), RoccoSiffredi(2+1), 21Sextreme(5+1), FantasyMassage(6+1), XEmpire(5+1), BlowPass(5+1), 21Sextury(20+1), DogfartNetwork(23+1), MommysBoy(1+1), WhiteGhetto(3+1), ZeroToleranceFilms(2+1), TukTukPatrol(1+1)

site_name,domain,code,network,enabled,priority
Buttman,Buttman.com,,EvilAngel,true,85
John Stagliano,JohnStagliano.com,,EvilAngel,true,80
Le Wood,LeWood.com,,EvilAngel,true,80
Anal Acrobats,AnalAcrobats.com,,EvilAngel,true,85
Lexington Steele,LexingtonSteele.com,,EvilAngel,true,80
Jake Malone,JakeMalone.com,,EvilAngel,true,75
Panty Pops,PantyPops.com,,EvilAngel,true,70
Titty Creampies,TittyCreampies.com,,EvilAngel,true,70
Milk Enema,MilkEnema.com,,EvilAngel,true,70
POV Blowjobs,POVBlowjobs.com,,EvilAngel,true,75
Gaping Angels,GapingAngels.com,,EvilAngel,true,75
Strap Attackers,StrapAttackers.com,,EvilAngel,true,75
John Leslie,JohnLeslie.com,,EvilAngel,true,75
Christophs Big Natural Tits,ChristophsBigNaturalTits.com,,EvilAngel,true,75
Belladonna,Belladonna.com,,EvilAngel,true,80
Cock Choking Sluts,CockChokingSluts.com,,EvilAngel,true,75

# 21 Naturals Network (3 sites + 1 main site)
21Naturals,www.21naturals.com,,21Naturals,true,100
21FootArt,21FootArt.com,,21Naturals,true,75
21EroticAnal,21EroticAnal.com,,21Naturals,true,75

# Devils Film Network (3 sites + 1 main site)
DevilsFilm,www.devilsfilm.com,,DevilsFilm,true,100
Out of the Family,OutOfTheFamily.com,,DevilsFilm,true,80
Give Me Teens,GiveMeTeens.com,,DevilsFilm,true,75

# Rocco Siffredi Network (2 sites + 1 main site)
RoccoSiffredi,www.roccosiffredi.com,,RoccoSiffredi,true,100
Rocco Siffredi Partners,RoccoSiffredPartners.com,,RoccoSiffredi,true,80

# 21 Sextreme Network (5 sites + 1 main site)
21Sextreme,www.21sextreme.com,,21Sextreme,true,100
Lusty Grandmas,LustyGrandmas.com,,21Sextreme,true,75
Grandpas Fuck Teens,GrandpasFuckTeens.com,,21Sextreme,true,75
Dominated Girls,DominatedGirls.com,,21Sextreme,true,75
Teach Me Fisting,TeachMeFisting.com,,21Sextreme,true,75
Zoliboy,Zoliboy.com,,21Sextreme,true,70

# Fantasy Massage Network (6 sites + 1 main site)
FantasyMassage,www.fantasymassage.com,,FantasyMassage,true,100
Nuru Massage,NuruMassage.com,,FantasyMassage,true,80
Soapy Massage,SoapyMassage.com,,FantasyMassage,true,75
Milking Table,MilkingTable.com,,FantasyMassage,true,75
Massage Parlor,MassageParlor.com,,FantasyMassage,true,75
Tricky Spa,TrickySpa.com,,FantasyMassage,true,75
POV Massage,POVMassage.com,,FantasyMassage,true,75

# XEmpire Network (5 sites + 1 main site)
XEmpire,www.xempire.com,,XEmpire,true,100
HardX,HardX.com,,XEmpire,true,85
AllBlackX,AllBlackX.com,,XEmpire,true,80
EroticaX,EroticaX.com,,XEmpire,true,80
DarkX,DarkX.com,,XEmpire,true,80
LesbianX,LesbianX.com,,XEmpire,true,80

# BlowPass Network (5 sites + 1 main site)
BlowPass,www.blowpass.com,,BlowPass,true,100
Throated,Throated.com,,BlowPass,true,85
Only Teen Blowjobs,OnlyTeenBlowjobs.com,,BlowPass,true,80
Mommy Blows Best,MommyBlowsBest.com,,BlowPass,true,80
1000 Facials,1000Facials.com,,BlowPass,true,80
Immoral Live,ImmoralLive.com,,BlowPass,true,75

# 21 Sextury Network (20 sites + 1 main site)
21Sextury,www.21sextury.com,,21Sextury,true,100
Anal Teen Angels,AnalTeenAngels.com,,21Sextury,true,80
Aletta Ocean Empire,AlettaOceanEmpire.com,,21Sextury,true,80
AssholeFever,AssholeFever.com,,21Sextury,true,80
DP Fanatics,DPFanatics.com,,21Sextury,true,80
Footsie Babes,FootsieBabes.com,,21Sextury,true,75
Nude Fight Club,NudeFightClub.com,,21Sextury,true,70
Anal Queen Alysa,AnalQueenAlysa.com,,21Sextury,true,75
Blue Angel Live,BlueAngelLive.com,,21Sextury,true,75
Butt Plays,ButtPlays.com,,21Sextury,true,75
Cheating Whore Wives,CheatingWhoreWives.com,,21Sextury,true,75
Club Sandy,ClubSandy.com,,21Sextury,true,75
Cuties Galore,CutiesGalore.com,,21Sextury,true,75
Deep Throat Frenzy,DeepThroatFrenzy.com,,21Sextury,true,75
Gape Land,GapeLand.com,,21Sextury,true,75
Hot Milf Club,HotMilfClub.com,,21Sextury,true,75
Lets Play Lez,LetsPlayLez.com,,21Sextury,true,75
Only Swallows,OnlySwallows.com,,21Sextury,true,75
Pix And Video,PixAndVideo.com,,21Sextury,true,80
Sex With Kathia Nobili,SexWithKathiaNobili.com,,21Sextury,true,75
Sweet Sophie Moone,SweetSophieMoone.com,,21Sextury,true,75

# Dogfart Network (23 sites + 1 main site)
DogfartNetwork,www.dogfartnetwork.com,,DogfartNetwork,true,100
Blacks On Blondes,BlacksOnBlondes.com,,DogfartNetwork,true,85
Cuckold Sessions,CuckoldSessions.com,,DogfartNetwork,true,80
Glory Hole,GloryHole.com,,DogfartNetwork,true,80
Blacks On Cougars,BlacksOnCougars.com,,DogfartNetwork,true,80
We Fuck Black Girls,WeFuckBlackGirls.com,,DogfartNetwork,true,80
Watching My Mom Go Black,WatchingMyMomGoBlack.com,,DogfartNetwork,true,80
Interracial Blowbang,InterracialBlowbang.com,,DogfartNetwork,true,80
Cum Bang,CumBang.com,,DogfartNetwork,true,75
Interracial Pickups,InterracialPickups.com,,DogfartNetwork,true,75
Watching My Daughter Go Black,WatchingMyDaughterGoBlack.com,,DogfartNetwork,true,75
Zebra Girls,ZebraGirls.com,,DogfartNetwork,true,75
Gloryhole Initiations,GloryholeInitiations.com,,DogfartNetwork,true,75
Dogfart Behind The Scenes,DogfartBehindTheScenes.com,,DogfartNetwork,true,70
Black Meat White Feet,BlackMeatWhiteFeet.com,,DogfartNetwork,true,75
Spring Thomas,SpringThomas.com,,DogfartNetwork,true,70
Katie Thomas,KatieThomas.com,,DogfartNetwork,true,70
Ruth Blackwell,RuthBlackwell.com,,DogfartNetwork,true,70
Candy Monroe,CandyMonroe.com,,DogfartNetwork,true,70
Wife Writing,WifeWriting.com,,DogfartNetwork,true,70
Barb Cummings,BarbCummings.com,,DogfartNetwork,true,70
The Minion,TheMinion.com,,DogfartNetwork,true,70
Blacks On Boys,BlacksOnBoys.com,,DogfartNetwork,true,75
Gloryholes And Handjobs,GloryholesAndHandjobs.com,,DogfartNetwork,true,75

# Mommys Boy Network (1 site + 1 main site)
MommysBoy,www.mommysboy.com,,MommysBoy,true,100

# White Ghetto Network (3 sites + 1 main site)
WhiteGhetto,www.whiteghetto.com,,WhiteGhetto,true,100
Bushy Bushy,BushyBushy.com,,WhiteGhetto,true,75
POV This,POVThis.com,,WhiteGhetto,true,75
Mother Fucker XXX,MotherFuckerXXX.com,,WhiteGhetto,true,75

# Zero Tolerance Films Network (2 sites + 1 main site)
ZeroToleranceFilms,www.zerotolerancefilms.com,,ZeroToleranceFilms,true,100
3rd Degree Films,3rdDegreeFilms.com,,ZeroToleranceFilms,true,75

# TukTukPatrol Network (1 site + 1 main site)
TukTukPatrol,www.tuktukpatrol.com,,TukTukPatrol,true,100
